branch_name,brand_name,required_count
BAIS,BR CHUA,1
BAIS,CONDURA,1
BAIS,SHARP,1
BAIS,TCL,1
BAJADA,ASAHI,1
BAJADA,CARRIER,2
BAJADA,CONDURA,1
BAJADA,DEVANT,2
BAJADA,DEWFOAM,1
BAJADA,EVEREST,1
BAJADA,FUJIDENZO,1
BAJADA,G8 MARKETING,1
BAJADA,HAIER,2
BAJADA,HISENSE,1
BAJADA,KOLIN,1
BAJADA,LA GERMANIA,1
BAJADA,LG,3
BAJADA,MIDEA,2
BAJADA,PANASONIC,2
BAJADA,PROMAC,1
BAJADA,SAMSUNG,4
BAJADA,SHARP,2
BAJADA,SKYWORTH,1
BAJADA,SONY,1
BAJADA,TCL,2
BAJADA,TOSHIBA,2
BAJADA,UNION,1
BAJADA,WHIRLPOOL,1
BALANGA,CARRIER,1
BALANGA,CONDURA,1
BALANGA,FUJIDENZO,1
BALANGA,HAIER,2
BALANGA,KOLIN,1
BALANGA,LG,1
BALANGA,MIDEA,1
BALANGA,PANASONIC,1
BALANGA,SAMSUNG,2
BALANGA,SHARP,2
BALANGA,SKYWORTH,1
BALANGA,SONY,1
BALANGA,TCL,1
BALANGA,TOSHIBA,1
BAYUGAN,BR CHUA,1
BAYUGAN,CONDURA,1
BAYUGAN,DEVANT,1
BAYUGAN,FUJIDENZO,1
BAYUGAN,HAIER,2
BAYUGAN,LG,1
BAYUGAN,MIDEA,1
BAYUGAN,PANASONIC,1
BAYUGAN,SAMSUNG,1
BAYUGAN,SHARP,1
BAYUGAN,TCL,1
BAYUGAN,TOSHIBA,1
BOGO,BR CHUA,1
BOGO,CONDURA,1
BOGO,DEVANT,1
BOGO,FUJIDENZO,1
BOGO,HAIER,1
BOGO,HISENSE,1
BOGO,KOLIN,1
BOGO,LA GERMANIA,1
BOGO,LG,1
BOGO,MIDEA,1
BOGO,PANASONIC,2
BOGO,SAMSUNG,4
BOGO,SHARP,1
BOGO,SKYWORTH,1
BOGO,TCL,2
BOGO,TOSHIBA,1
BULACAN,CARRIER,1
BULACAN,CONDURA,1
BULACAN,HAIER,1
BULACAN,KOLIN,1
BULACAN,LG,1
BULACAN,MIDEA,1
BULACAN,PANASONIC,1
BULACAN,SAMSUNG,3
BULACAN,SHARP,1
BULACAN,TCL,1
BULACAN,TOSHIBA,1
CABATUAN,ASAHI,2
CABATUAN,CARRIER,1
CABATUAN,CONDURA,1
CABATUAN,FUJIDENZO,1
CABATUAN,HAIER,1
CABATUAN,LA GERMANIA,1
CABATUAN,LG,1
CABATUAN,MIDEA,1
CABATUAN,NOE'S,2
CABATUAN,PANASONIC,1
CABATUAN,SAMSUNG,1
CABATUAN,SHARP,1
CABATUAN,TCL,1
CABATUAN,TOSHIBA,1
CABATUAN,UNION,1
CALOOCAN,CARRIER,1
CALOOCAN,CONDURA,1
CALOOCAN,FUJIDENZO,1
CALOOCAN,HAIER,1
CALOOCAN,HANABISHI,1
CALOOCAN,IMARFLEX,1
CALOOCAN,KOLIN,1
CALOOCAN,LA GERMANIA,1
CALOOCAN,LG,3
CALOOCAN,MIDEA,1
CALOOCAN,MITSUBISHI,1
CALOOCAN,PANASONIC,1
CALOOCAN,SAMSUNG,3
CALOOCAN,SKYWORTH,1
CALOOCAN,TCL,2
CALOOCAN,TOSHIBA,1
CALUMPANG,DEVANT,1
CALUMPANG,HAIER,1
CALUMPANG,SAMSUNG,1
CALUMPANG,SHARP,1
CALUMPANG,TCL,1
CARMEN,BR CHUA,1
CARMEN,CONDURA,1
CARMEN,HAIER,1
CARMEN,LG,1
CARMEN,MIDEA,1
CARMEN,SAMSUNG,1
CARMEN,SHARP,1
CARMEN,TCL,1
CARMEN,TOSHIBA,1
DAGUPAN,CARRIER,1
DAGUPAN,CONDURA,1
DAGUPAN,HAIER,2
DAGUPAN,KOLIN,1
DAGUPAN,LG,1
DAGUPAN,MIDEA,1
DAGUPAN,PANASONIC,1
DAGUPAN,SAMSUNG,1
DAGUPAN,SHARP,1
DAGUPAN,TOSHIBA,1
DIPOLOG,CARRIER,1
DIPOLOG,CONDURA,1
DIPOLOG,FUJIDENZO,1
DIPOLOG,HAIER,2
DIPOLOG,KOLIN,1
DIPOLOG,LG,1
DIPOLOG,MIDEA,2
DIPOLOG,PANASONIC,2
DIPOLOG,SAMSUNG,3
DIPOLOG,SHARP,1
DIPOLOG,SKYWORTH,1
DIPOLOG,SONY,1
DIPOLOG,TCL,2
DIPOLOG,TOSHIBA,2
GAPAN,CARRIER,1
GAPAN,CONDURA,1
GAPAN,DEVANT,1
GAPAN,FUJIDENZO,1
GAPAN,HAIER,1
GAPAN,KOLIN,1
GAPAN,LA GERMANIA,1
GAPAN,LG,1
GAPAN,MIDEA,1
GAPAN,PANASONIC,1
GAPAN,SAMSUNG,2
GAPAN,SHARP,1
GAPAN,TCL,1
GAPAN,TOSHIBA,1
IMUS,CONDURA,1
IMUS,HAIER,1
IMUS,KOLIN,1
IMUS,LG,1
IMUS,MIDEA,1
IMUS,PANASONIC,1
IMUS,SAMSUNG,2
IMUS,SHARP,1
IMUS,TCL,1
IMUS,TOSHIBA,1
IPIL,CONDURA,1
IPIL,LG,1
IPIL,MIDEA,1
IPIL,PANASONIC,1
IPIL,SAMSUNG,1
IPIL,SHARP,1
IPIL,TCL,1
IPIL,TOSHIBA,1
IRIGA,CONDURA,1
IRIGA,FUJIDENZO,1
IRIGA,HAIER,2
IRIGA,LA GERMANIA,1
IRIGA,MIDEA,1
IRIGA,PANASONIC,1
IRIGA,SAMSUNG,1
IRIGA,SHARP,1
IRIGA,TCL,1
IRIGA,TOSHIBA,1
JANIUAY,ASAHI,2
JANIUAY,CONDURA,1
JANIUAY,HAIER,1
JANIUAY,LG,1
JANIUAY,NOE'S,2
JANIUAY,PANASONIC,1
JANIUAY,SAMSUNG,1
JANIUAY,SHARP,1
JANIUAY,TCL,1
